@RELATION data

@ATTRIBUTE 50daymovingaverage REAL
@ATTRIBUTE volume REAL
@ATTRIBUTE market/bookratio REAL
@ATTRIBUTE p/e REAL
@ATTRIBUTE debt/equityratio REAL
@ATTRIBUTE freecashflowyield REAL
@ATTRIBUTE class {FALSE,TRUE}

@DATA
0.942208759,103089000,1.52646127,-2.016625528,0.612607759,-0.005642227,TRUE
0.955127066,93424800,1.543939924,-2.039716778,0.612607759,-0.005583825,TRUE
0.992672249,147232400,1.60220174,-2.116687133,0.612607759,-0.005397592,TRUE
0.95879013,145195400,1.543939924,-2.039716778,0.612607759,-0.005583825,TRUE
1.043591683,200933600,1.677942211,-2.216748739,0.612607759,-0.005173289,TRUE
0.999236921,105844200,1.60220174,-2.116687133,0.612607759,-0.005397592,TRUE
0.999525762,76529600,1.596375574,-2.108990118,0.612607759,-0.005415654,TRUE
0.987627087,210218400,1.567244588,-2.070504838,0.612607759,-0.005507811,TRUE
1.102385462,306752600,1.742030349,-2.301416315,0.612607759,-0.004997561,TRUE
1.152950786,194166000,1.817770819,-2.401477921,0.612607759,-0.004804679,TRUE
1.140952032,129831800,1.794465999,-2.370689655,0.612607759,-0.004862423,TRUE
1.21441003,219882600,1.910989787,-2.524630571,0.612607759,-0.004586799,TRUE
1.213960563,179272800,1.910989787,-2.524630571,0.612607759,-0.004586799,TRUE
1.179428448,122427200,1.858554137,-2.455357231,0.612607759,-0.004706861,TRUE
1.156988165,120705200,1.823596985,-2.409174936,0.612607759,-0.004790457,TRUE
1.280490098,213882200,2.02168741,-2.670874472,0.612607759,-0.00435242,TRUE
1.281343228,173105800,2.027513576,-2.678571487,0.612607759,-0.004340746,TRUE
1.270050978,182676200,2.015861088,-2.663177252,0.612607759,-0.004364157,TRUE
1.236871928,92423800,1.969251604,-2.601600926,0.612607759,-0.004460382,TRUE
1.20521528,106835400,1.922642119,-2.540024601,0.612607759,-0.004560945,TRUE
1.177757505,71528800,1.881858801,-2.486145291,0.612607759,-0.004652733,TRUE
1.228688763,115677800,1.969251604,-2.601600926,0.612607759,-0.004460382,TRUE
1.204862959,98471800,1.934294452,-2.555418631,0.612607759,-0.004535382,TRUE
1.201983957,151032000,1.934294452,-2.555418631,0.612607759,-0.004535382,TRUE
